"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.464830637E0,6.420052052E0,6.683413982E0
9.942306000E-3,-2.493561029E0,6.410475254E0,6.688202381E0
1.998186400E-2,-2.464830637E0,6.410475254E0,6.692990780E0
2.999396500E-2,-2.460042238E0,6.415263653E0,6.702567577E0
3.992893500E-2,-2.450465441E0,6.420052052E0,6.707355976E0
5.008927100E-2,-2.460042238E0,6.420052052E0,6.683413982E0
6.010504200E-2,-2.474407434E0,6.410475254E0,6.692990780E0
7.010442300E-2,-2.483984232E0,6.405686855E0,6.726509571E0
8.014933800E-2,-2.479195833E0,6.410475254E0,6.688202381E0
9.017435400E-2,-2.498349428E0,6.381744862E0,6.664260387E0
1.002249650E-1,-2.469619036E0,6.396110058E0,6.697779179E0
1.102481960E-1,-2.488772631E0,6.396110058E0,6.716932774E0
1.202943520E-1,-2.464830637E0,6.415263653E0,6.688202381E0
1.303122410E-1,-2.474407434E0,6.400898457E0,6.702567577E0
1.403696580E-1,-2.474407434E0,6.415263653E0,6.683413982E0
1.503995880E-1,-2.469619036E0,6.410475254E0,6.692990780E0
1.604239400E-1,-2.479195833E0,6.420052052E0,6.716932774E0
1.704677480E-1,-2.483984232E0,6.400898457E0,6.726509571E0
1.804140710E-1,-2.469619036E0,6.410475254E0,6.673837185E0
1.904209110E-1,-2.460042238E0,6.420052052E0,6.697779179E0
2.004383140E-1,-2.479195833E0,6.410475254E0,6.688202381E0
2.105369610E-1,-2.464830637E0,6.410475254E0,6.745663166E0
2.205987790E-1,-2.450465441E0,6.400898457E0,6.697779179E0
2.305387480E-1,-2.464830637E0,6.420052052E0,6.716932774E0
2.406287840E-1,-2.469619036E0,6.410475254E0,6.688202381E0
2.505664140E-1,-2.445677042E0,6.415263653E0,6.697779179E0
2.605962310E-1,-2.479195833E0,6.410475254E0,6.692990780E0
2.706136800E-1,-2.464830637E0,6.405686855E0,6.688202381E0
2.806370940E-1,-2.483984232E0,6.391321659E0,6.688202381E0
2.906169690E-1,-2.464830637E0,6.396110058E0,6.707355976E0
3.006873650E-1,-2.455253839E0,6.386533260E0,6.683413982E0
3.107140650E-1,-2.469619036E0,6.443994045E0,6.707355976E0
3.206944690E-1,-2.474407434E0,6.415263653E0,6.692990780E0
3.307625340E-1,-2.483984232E0,6.391321659E0,6.712144375E0
3.407598320E-1,-2.474407434E0,6.405686855E0,6.669048786E0
3.507760770E-1,-2.483984232E0,6.429628849E0,6.716932774E0
3.607963800E-1,-2.469619036E0,6.396110058E0,6.716932774E0
3.708240470E-1,-2.450465441E0,6.405686855E0,6.692990780E0
3.808545820E-1,-2.488772631E0,6.410475254E0,6.697779179E0
3.909273820E-1,-2.460042238E0,6.420052052E0,6.716932774E0
4.008977950E-1,-2.464830637E0,6.410475254E0,6.697779179E0
4.110366130E-1,-2.469619036E0,6.429628849E0,6.678625584E0
4.210461020E-1,-2.464830637E0,6.415263653E0,6.659471989E0
4.310278550E-1,-2.488772631E0,6.400898457E0,6.688202381E0
4.410007990E-1,-2.450465441E0,6.396110058E0,6.712144375E0
4.510215490E-1,-2.469619036E0,6.415263653E0,6.697779179E0
4.611769760E-1,-2.455253839E0,6.400898457E0,6.688202381E0
4.711350370E-1,-2.474407434E0,6.405686855E0,6.697779179E0
4.811598250E-1,-2.469619036E0,6.410475254E0,6.692990780E0
4.911874600E-1,-2.479195833E0,6.400898457E0,6.731297970E0
5.011453020E-1,-2.464830637E0,6.420052052E0,6.683413982E0
5.111689250E-1,-2.479195833E0,6.400898457E0,6.688202381E0
5.212024320E-1,-2.464830637E0,6.420052052E0,6.707355976E0
5.312268460E-1,-2.455253839E0,6.415263653E0,6.692990780E0
5.412537910E-1,-2.469619036E0,6.405686855E0,6.707355976E0
5.512660150E-1,-2.469619036E0,6.410475254E0,6.697779179E0
