"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
0.000000000E0,-1.799999237E0,-5.680000305E1,-3.520000076E1
9.602538000E-3,-1.399999619E0,-5.669999695E1,-3.490000153E1
1.962226900E-2,-1.299999237E0,-5.669999695E1,-3.520000076E1
2.964200000E-2,-1.200000763E0,-5.669999695E1,-3.529999924E1
3.957703800E-2,-1.299999237E0,-5.669999695E1,-3.540000153E1
4.994519200E-2,-1.299999237E0,-5.669999695E1,-3.550000000E1
5.957573000E-2,-1.399999619E0,-5.680000305E1,-3.559999847E1
6.955392300E-2,-1.500000000E0,-5.700000000E1,-3.559999847E1
7.978319200E-2,-1.500000000E0,-5.700000000E1,-3.579999924E1
8.969128800E-2,-1.500000000E0,-5.700000000E1,-3.579999924E1
9.959938400E-2,-1.500000000E0,-5.710000610E1,-3.579999924E1
1.095831920E-1,-1.500000000E0,-5.710000610E1,-3.570000076E1
1.195929610E-1,-1.600000381E0,-5.719999695E1,-3.579999924E1
1.295967690E-1,-1.600000381E0,-5.719999695E1,-3.570000076E1
1.396307300E-1,-1.500000000E0,-5.719999695E1,-3.570000076E1
1.496449230E-1,-1.500000000E0,-5.719999695E1,-3.570000076E1
1.596504230E-1,-1.500000000E0,-5.719999695E1,-3.570000076E1
1.695381920E-1,-1.500000000E0,-5.719999695E1,-3.559999847E1
1.796570380E-1,-1.500000000E0,-5.719999695E1,-3.559999847E1
1.919598840E-1,-1.500000000E0,-5.719999695E1,-3.559999847E1
2.096067690E-1,-1.600000381E0,-5.730000305E1,-3.570000076E1
2.196099220E-1,-1.600000381E0,-5.730000305E1,-3.570000076E1
2.296228460E-1,-1.600000381E0,-5.730000305E1,-3.570000076E1
2.395764220E-1,-1.600000381E0,-5.730000305E1,-3.570000076E1
2.511317300E-1,-1.600000381E0,-5.730000305E1,-3.570000076E1
2.595421920E-1,-1.600000381E0,-5.739999390E1,-3.570000076E1
2.699449220E-1,-1.700000763E0,-5.739999390E1,-3.570000076E1
2.795434220E-1,-1.799999237E0,-5.750000000E1,-3.579999924E1
2.896863840E-1,-1.899999619E0,-5.750000000E1,-3.579999924E1
2.995363840E-1,-1.899999619E0,-5.760000610E1,-3.590000153E1
3.095114990E-1,-2.000000000E0,-5.769999695E1,-3.600000000E1
3.195436530E-1,-2.100000381E0,-5.769999695E1,-3.600000000E1
3.295621150E-1,-2.200000763E0,-5.789999390E1,-3.609999847E1
3.395554220E-1,-2.200000763E0,-5.789999390E1,-3.609999847E1
3.495172300E-1,-2.299999237E0,-5.800000000E1,-3.609999847E1
3.595812690E-1,-2.399999619E0,-5.800000000E1,-3.609999847E1
3.695531920E-1,-2.299999237E0,-5.810000610E1,-3.609999847E1
3.795575380E-1,-2.399999619E0,-5.810000610E1,-3.609999847E1
3.895323450E-1,-2.500000000E0,-5.819999695E1,-3.620000076E1
3.995259220E-1,-2.500000000E0,-5.819999695E1,-3.620000076E1
4.095146150E-1,-2.600000381E0,-5.830000305E1,-3.629999924E1
4.195253070E-1,-2.700000763E0,-5.830000305E1,-3.629999924E1
4.319711920E-1,-2.799999237E0,-5.839999390E1,-3.640000153E1
4.430552300E-1,-2.899999619E0,-5.850000000E1,-3.650000000E1
4.595470760E-1,-3.000000000E0,-5.860000610E1,-3.659999847E1
4.745899990E-1,-3.000000000E0,-5.860000610E1,-3.670000076E1
4.895447680E-1,-3.100000381E0,-5.869999695E1,-3.679999924E1
4.995486920E-1,-3.200000763E0,-5.869999695E1,-3.679999924E1
5.095250380E-1,-3.100000381E0,-5.869999695E1,-3.679999924E1
5.195433450E-1,-3.200000763E0,-5.869999695E1,-3.670000076E1
5.296554990E-1,-3.299999237E0,-5.880000305E1,-3.679999924E1
5.400440380E-1,-3.299999237E0,-5.880000305E1,-3.679999924E1
5.495313840E-1,-3.399999619E0,-5.880000305E1,-3.679999924E1
