"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.181068200E-2,1.740778536E-1,-1.411765367E-1,9.893723488E0,9.896261838E0
3.431083800E-2,2.027917206E-1,-1.124626622E-1,9.893723488E0,9.896440612E0
3.681104600E-2,1.740778536E-1,-1.124626622E-1,9.917651176E0,9.919816319E0
3.931120300E-2,1.980060786E-1,-1.842473447E-1,9.874580383E0,9.878283820E0
4.181135900E-2,1.932204217E-1,-1.220339537E-1,9.864411354E0,9.867058213E0
4.426135900E-2,1.740778536E-1,-1.411765367E-1,9.874580383E0,9.877123653E0
4.671135900E-2,1.692921966E-1,-1.220339537E-1,9.884152412E0,9.886355296E0
4.918599400E-2,2.027917206E-1,-1.220339537E-1,9.922437668E0,9.925259999E0
5.166063000E-2,1.836491376E-1,-1.507478207E-1,9.864411354E0,9.867272332E0
5.413521300E-2,1.836491376E-1,-1.507478207E-1,9.854840279E0,9.857704034E0
5.663182800E-2,1.884347796E-1,-1.076770201E-1,9.888937950E0,9.891319214E0
5.912839000E-2,2.027917206E-1,-1.459621787E-1,9.908080101E0,9.911230031E0
6.162495300E-2,1.884347796E-1,-1.220339537E-1,9.965508461E0,9.968036860E0
6.412198400E-2,1.884347796E-1,-9.810572863E-2,9.941579819E0,9.943849440E0
6.663391100E-2,1.692921966E-1,-1.316052526E-1,9.932008743E0,9.934323201E0
6.913094200E-2,1.980060786E-1,-8.853443712E-2,9.932008743E0,9.934376801E0
7.162792100E-2,1.884347796E-1,-1.316052526E-1,9.893723488E0,9.896392881E0
7.412490000E-2,2.171486616E-1,-9.810572863E-2,9.903294563E0,9.906160784E0
7.662193200E-2,2.075773627E-1,-1.316052526E-1,9.946365356E0,9.949401595E0
7.911891100E-2,2.123630047E-1,-1.124626622E-1,9.932008743E0,9.934915378E0
8.161589000E-2,1.836491376E-1,-1.316052526E-1,9.864411354E0,9.866998445E0
8.411328600E-2,2.027917206E-1,-1.363908947E-1,9.874580383E0,9.877604199E0
8.662401500E-2,1.932204217E-1,-1.698904037E-1,9.927223206E0,9.930556754E0
8.912141100E-2,1.932204217E-1,-1.363908947E-1,9.927223206E0,9.930040140E0
9.161880700E-2,1.788634956E-1,-1.316052526E-1,9.912865639E0,9.915352604E0
9.411615000E-2,2.027917206E-1,-1.220339537E-1,9.908080101E0,9.910906520E0
9.661354600E-2,2.171486616E-1,-1.268195957E-1,9.941579819E0,9.944759728E0
9.911094200E-2,1.788634956E-1,-1.220339537E-1,9.898509026E0,9.900877000E0
1.016082860E-1,1.788634956E-1,-1.220339537E-1,9.941579819E0,9.943937536E0
1.041065150E-1,1.788634956E-1,-1.603191197E-1,9.927223206E0,9.930128647E0
1.066216710E-1,1.980060786E-1,-1.459621787E-1,9.898509026E0,9.901565144E0
1.091367750E-1,2.171486616E-1,-1.363908947E-1,9.932008743E0,9.935318500E0
1.116350050E-1,1.740778536E-1,-1.363908947E-1,9.946365356E0,9.948823517E0
