"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.891059800E-2,-2.750000000E0,1.930000114E1,-2.239999962E1,2.969532837E1
5.891059800E-2,-2.637500048E0,1.943750000E1,-2.201250076E1,2.948428399E1
6.891059800E-2,-2.562500000E0,1.945000076E1,-2.185000038E1,2.936479955E1
7.891059800E-2,-2.537500143E0,1.945000076E1,-2.182500076E1,2.934402997E1
8.891059800E-2,-2.475000143E0,1.943750000E1,-2.187500000E1,2.936762941E1
9.891059800E-2,-2.437500000E0,1.943750000E1,-2.187500000E1,2.936449280E1
1.089105980E-1,-2.424999952E0,1.945000076E1,-2.185000038E1,2.935312030E1
1.189105980E-1,-2.437500000E0,1.941250038E1,-2.191250038E1,2.937591276E1
1.289105980E-1,-2.412500143E0,1.941250038E1,-2.189999962E1,2.936452471E1
1.389105980E-1,-2.412500143E0,1.941250038E1,-2.200000000E1,2.943918015E1
1.489105980E-1,-2.450000048E0,1.942500114E1,-2.214999962E1,2.956274096E1
1.589105980E-1,-2.462500095E0,1.942500114E1,-2.218750000E1,2.959188626E1
1.689105980E-1,-2.500000000E0,1.941250038E1,-2.212500000E1,2.953998639E1
1.789105980E-1,-2.537500143E0,1.938750076E1,-2.212500000E1,2.952676274E1
1.889105980E-1,-2.525000095E0,1.939999962E1,-2.214999962E1,2.955263260E1
1.989105980E-1,-2.487499952E0,1.945000076E1,-2.216250038E1,2.959166452E1
2.089105980E-1,-2.500000000E0,1.947500038E1,-2.216250038E1,2.960915505E1
2.189105980E-1,-2.525000095E0,1.948750114E1,-2.213750076E1,2.960079841E1
2.289105980E-1,-2.525000095E0,1.947500038E1,-2.210000038E1,2.956452743E1
2.389105980E-1,-2.512500048E0,1.948750114E1,-2.220000076E1,2.964650723E1
2.489105980E-1,-2.500000000E0,1.952499962E1,-2.236250114E1,2.979189600E1
2.589105980E-1,-2.475000143E0,1.957500076E1,-2.248750114E1,2.991645013E1
2.689105980E-1,-2.462500095E0,1.956250000E1,-2.261250114E1,3.000134199E1
2.789105980E-1,-2.437500000E0,1.953750038E1,-2.263750076E1,3.000186275E1
2.889105980E-1,-2.362499952E0,1.952499962E1,-2.255000114E1,2.992172401E1
2.989105980E-1,-2.299999952E0,1.950000000E1,-2.246249962E1,2.983460891E1
3.089105980E-1,-2.250000000E0,1.948750114E1,-2.236250114E1,2.974738070E1
3.189105980E-1,-2.225000143E0,1.946249962E1,-2.227499962E1,2.966336335E1
3.289105980E-1,-2.212500095E0,1.942500114E1,-2.211250114E1,2.951590305E1
3.389105980E-1,-2.225000143E0,1.937500000E1,-2.198750114E1,2.939032931E1
3.489105980E-1,-2.237499952E0,1.941250038E1,-2.185000038E1,2.931337739E1
3.589105980E-1,-2.237499952E0,1.945000076E1,-2.177499962E1,2.928241015E1
3.689105980E-1,-2.237499952E0,1.945000076E1,-2.181250000E1,2.931030692E1
3.789105980E-1,-2.250000000E0,1.947500038E1,-2.189999962E1,2.939299446E1
3.889105980E-1,-2.262500048E0,1.947500038E1,-2.200000000E1,2.946853485E1
3.989105980E-1,-2.325000048E0,1.943750000E1,-2.203750038E1,2.947665949E1
4.089105980E-1,-2.375000000E0,1.942500114E1,-2.207500076E1,2.950045683E1
4.189105980E-1,-2.362499952E0,1.946249962E1,-2.206250000E1,2.951481329E1
4.289105980E-1,-2.375000000E0,1.945000076E1,-2.208749962E1,2.952627295E1
4.389105980E-1,-2.375000000E0,1.942500114E1,-2.220000076E1,2.959410969E1
4.489105980E-1,-2.387500048E0,1.941250038E1,-2.227499962E1,2.964322748E1
4.589105980E-1,-2.387500048E0,1.939999962E1,-2.226250076E1,2.962564905E1
4.689105980E-1,-2.387500048E0,1.942500114E1,-2.222500038E1,2.961387290E1
4.789105980E-1,-2.375000000E0,1.948750114E1,-2.213750076E1,2.958838059E1
4.889105980E-1,-2.325000048E0,1.950000000E1,-2.207500076E1,2.954591823E1
4.989105980E-1,-2.312500000E0,1.947500038E1,-2.210000038E1,2.954713714E1
5.089105980E-1,-2.312500000E0,1.941250038E1,-2.207500076E1,2.948725972E1
5.189105980E-1,-2.312500000E0,1.937500000E1,-2.200000000E1,2.940643265E1
5.289105980E-1,-2.312500000E0,1.937500000E1,-2.192500114E1,2.935036552E1
5.389105980E-1,-2.262500048E0,1.938750076E1,-2.178750038E1,2.925216685E1
5.489105980E-1,-2.250000000E0,1.933749962E1,-2.172500038E1,2.917151064E1
5.589105980E-1,-2.187500000E0,1.928750038E1,-2.175000000E1,2.915227825E1
5.689105980E-1,-2.150000095E0,1.928750038E1,-2.182500076E1,2.920549314E1
5.789105980E-1,-2.150000095E0,1.930000114E1,-2.191250038E1,2.927917720E1
5.889105980E-1,-2.174999952E0,1.933749962E1,-2.193750000E1,2.932445093E1
5.989105980E-1,-2.200000048E0,1.942500114E1,-2.196249962E1,2.940275598E1
6.089105980E-1,-2.212500095E0,1.945000076E1,-2.198750114E1,2.943888403E1
6.189105980E-1,-2.225000143E0,1.942500114E1,-2.201250076E1,2.944200205E1
6.289105980E-1,-2.212500095E0,1.945000076E1,-2.202499962E1,2.946690168E1
6.389105980E-1,-2.225000143E0,1.951250076E1,-2.211250114E1,2.957449946E1
6.489105980E-1,-2.275000095E0,1.955000114E1,-2.216250038E1,2.964042161E1
6.589105980E-1,-2.299999952E0,1.955000114E1,-2.218750000E1,2.966104686E1
6.689105980E-1,-2.312500000E0,1.951250076E1,-2.227499962E1,2.970287781E1
6.789105980E-1,-2.325000048E0,1.947500038E1,-2.225000000E1,2.966047480E1
6.889105980E-1,-2.325000048E0,1.947500038E1,-2.220000076E1,2.962298599E1
6.989105980E-1,-2.325000048E0,1.947500038E1,-2.228750038E1,2.968861631E1
7.089105980E-1,-2.350000143E0,1.946249962E1,-2.231250000E1,2.970116241E1
7.189105980E-1,-2.375000000E0,1.945000076E1,-2.220000076E1,2.961052496E1
7.289105980E-1,-2.362499952E0,1.943750000E1,-2.210000038E1,2.952639208E1
7.389105980E-1,-2.312500000E0,1.945000076E1,-2.198750114E1,2.944656843E1
7.489105980E-1,-2.262500048E0,1.950000000E1,-2.187500000E1,2.939191269E1
7.589105980E-1,-2.237499952E0,1.952499962E1,-2.187500000E1,2.940659180E1
7.689105980E-1,-2.250000000E0,1.955000114E1,-2.188750076E1,2.943344585E1
7.789105980E-1,-2.287500143E0,1.956250000E1,-2.188750076E1,2.944463878E1
7.889105980E-1,-2.312500000E0,1.957500076E1,-2.189999962E1,2.946418664E1
7.989105980E-1,-2.275000095E0,1.955000114E1,-2.191250038E1,2.945396142E1
8.089105980E-1,-2.275000095E0,1.950000000E1,-2.196249962E1,2.945805518E1
8.189105980E-1,-2.325000048E0,1.950000000E1,-2.203750038E1,2.951791064E1
8.289105980E-1,-2.387500048E0,1.947500038E1,-2.206250000E1,2.952506905E1
8.389105980E-1,-2.387500048E0,1.943750000E1,-2.208749962E1,2.951904812E1
8.489105980E-1,-2.362499952E0,1.938750076E1,-2.216250038E1,2.954036247E1
8.589105980E-1,-2.350000143E0,1.937500000E1,-2.218750000E1,2.954992863E1
8.689105980E-1,-2.312500000E0,1.937500000E1,-2.220000076E1,2.955635829E1
8.789105980E-1,-2.299999952E0,1.938750076E1,-2.225000000E1,2.960114332E1
8.889105980E-1,-2.287500143E0,1.937500000E1,-2.232500076E1,2.964842223E1
8.989105980E-1,-2.287500143E0,1.936250114E1,-2.228750038E1,2.961202088E1
9.089105980E-1,-2.250000000E0,1.933749962E1,-2.217500114E1,2.950816950E1
9.189105980E-1,-2.237499952E0,1.930000114E1,-2.202499962E1,2.937000270E1
9.289105980E-1,-2.250000000E0,1.931250000E1,-2.189999962E1,2.928557904E1
9.389105980E-1,-2.237499952E0,1.928750038E1,-2.182500076E1,2.921206489E1
9.489105980E-1,-2.262500048E0,1.921249962E1,-2.185000038E1,2.918324116E1
9.589105980E-1,-2.299999952E0,1.920000076E1,-2.183749962E1,2.916858616E1
9.689105980E-1,-2.350000143E0,1.925000000E1,-2.178750038E1,2.916813627E1
9.789105980E-1,-2.375000000E0,1.926250076E1,-2.177499962E1,2.916907899E1
9.889105980E-1,-2.400000095E0,1.926250076E1,-2.185000038E1,2.922715266E1
9.989105980E-1,-2.424999952E0,1.926250076E1,-2.196249962E1,2.931340905E1
1.008910598E0,-2.450000048E0,1.926250076E1,-2.203750038E1,2.937171869E1
1.018910598E0,-2.475000143E0,1.931250000E1,-2.205000114E1,2.941599620E1
1.028910598E0,-2.475000143E0,1.937500000E1,-2.201250076E1,2.942900679E1
1.038910598E0,-2.437500000E0,1.938750076E1,-2.200000000E1,2.942476155E1
1.048910598E0,-2.387500048E0,1.939999962E1,-2.192500114E1,2.937287553E1
1.058910598E0,-2.375000000E0,1.942500114E1,-2.197500038E1,2.942570197E1
1.068910598E0,-2.424999952E0,1.947500038E1,-2.211250114E1,2.956550307E1
1.078910598E0,-2.487499952E0,1.953750038E1,-2.218750000E1,2.966794117E1
1.088910598E0,-2.500000000E0,1.955000114E1,-2.227499962E1,2.974269915E1
1.098910598E0,-2.475000143E0,1.953750038E1,-2.226250076E1,2.972302957E1
1.108910598E0,-2.475000143E0,1.951250076E1,-2.226250076E1,2.970660283E1
1.118910598E0,-2.512500048E0,1.950000000E1,-2.236250114E1,2.977656988E1
1.128910598E0,-2.562500000E0,1.948750114E1,-2.245000076E1,2.983842558E1
1.138910598E0,-2.562500000E0,1.945000076E1,-2.241250038E1,2.978571989E1
1.148910598E0,-2.475000143E0,1.941250038E1,-2.226250076E1,2.964101444E1
1.158910598E0,-2.400000095E0,1.938750076E1,-2.214999962E1,2.953400869E1
1.168910598E0,-2.350000143E0,1.938750076E1,-2.205000114E1,2.945505452E1
1.178910598E0,-2.362499952E0,1.938750076E1,-2.205000114E1,2.945605443E1
1.188910598E0,-2.337500095E0,1.941250038E1,-2.200000000E1,2.943312892E1
1.198910598E0,-2.337500095E0,1.941250038E1,-2.201250076E1,2.944247387E1
1.208910598E0,-2.362499952E0,1.939999962E1,-2.210000038E1,2.950171873E1
1.218910598E0,-2.337500095E0,1.938750076E1,-2.217500114E1,2.954775403E1
1.228910598E0,-2.325000048E0,1.942500114E1,-2.221249962E1,2.959951746E1
1.238910598E0,-2.299999952E0,1.945000076E1,-2.220000076E1,2.960460375E1
1.248910598E0,-2.312500000E0,1.943750000E1,-2.217500114E1,2.957861961E1
1.258910598E0,-2.350000143E0,1.941250038E1,-2.214999962E1,2.954640680E1
1.268910598E0,-2.400000095E0,1.939999962E1,-2.217500114E1,2.956096516E1
1.278910598E0,-2.400000095E0,1.939999962E1,-2.206250000E1,2.947666691E1
1.288910598E0,-2.362499952E0,1.941250038E1,-2.191250038E1,2.936978464E1
1.298910598E0,-2.362499952E0,1.943750000E1,-2.186250114E1,2.934905056E1
1.308910598E0,-2.412500143E0,1.942500114E1,-2.192500114E1,2.939143585E1
1.318910598E0,-2.450000048E0,1.937500000E1,-2.203750038E1,2.944562019E1
1.328910598E0,-2.424999952E0,1.939999962E1,-2.212500000E1,2.952551837E1
1.338910598E0,-2.350000143E0,1.947500038E1,-2.213750076E1,2.957815208E1
1.348910598E0,-2.325000048E0,1.951250076E1,-2.210000038E1,2.957284782E1
1.358910598E0,-2.287500143E0,1.953750038E1,-2.206250000E1,2.955842493E1
1.368910598E0,-2.299999952E0,1.953750038E1,-2.208749962E1,2.957805877E1
1.378910598E0,-2.287500143E0,1.952499962E1,-2.202499962E1,2.952217599E1
1.388910598E0,-2.250000000E0,1.951250076E1,-2.200000000E1,2.949237505E1
1.398910598E0,-2.250000000E0,1.952499962E1,-2.208749962E1,2.956595592E1
1.408910598E0,-2.299999952E0,1.950000000E1,-2.207500076E1,2.954396146E1
1.418910598E0,-2.375000000E0,1.946249962E1,-2.203750038E1,2.949713443E1
1.428910598E0,-2.400000095E0,1.945000076E1,-2.201250076E1,2.947223643E1
