,0
0,1738508633833927168
1,1738508643902141952
2,1738508654972378112
3,1738508671979740928
4,1738508683001976064
5,1738508693409198080
6,1738508702781398016
7,1738508713488626432
8,1738508724201854976
9,1738508740261197568
10,1738508751631440128
11,1738508763679697152
12,1738508778422011648
13,1738508790149261824
14,1738508800211476480
15,1738508824607996928
16,1738508837322268160
17,1738508856744682496
18,1738508869779960576
19,1738508887525339136
20,1738508900593617920
21,1738508910979839488
22,1738508924351124736
23,1738508935403360512
24,1738508948774645760
25,1738508961491917056
26,1738508985594431232
27,1738508998641709568
28,1738509023395237632
29,1738509034132466688
30,1738509044191681280
31,1738509060242023680
32,1738509070619245056
33,1738509087380602624
34,1738509101759909376
35,1738509111477116672
36,1738509123864380928
37,1738509135234623488
38,1738509145626845184
39,1738509157351095296
40,1738509168379330560
41,1738509180091580416
42,1738509196498930432
43,1738509207191158528
44,1738509218888408064
45,1738509231305672960
46,1738509248379037184
47,1738509259452273408
48,1738509271497530368
49,1738509283890794752
50,1738509295246036992
51,1738509306961286912
52,1738509319015544064
53,1738509329740772864
54,1738509342128037120
55,1738509352829265408
56,1738509363878501120
57,1738509376250765056
58,1738509388629029120
59,1738509401334300160
60,1738509414753586432
61,1738509426486836736
62,1738509439528114944
63,1738509452602393856
64,1738509465679672832
65,1738509480055979520
66,1738509491786229760
67,1738509505517522688
68,1738509517559779584
69,1738509532308094208
70,1738509544707358720
71,1738509578884087808
72,1738509609367738112
73,1738509619768960000
74,1738509631154202880
75,1738509644945497088
76,1738509657317761024
77,1738509671043053824
78,1738509684117332736
79,1738509696819603712
80,1738509708867860736
81,1738509725926224640
82,1738509736309446144
83,1738509747712689408
84,1738509759448939776
85,1738509770843182848
86,1738509782552432640
87,1738509797294747136
88,1738509807677968640
89,1738509817725182976
90,1738509830448454400
91,1738509840177661952
92,1738509851541904384
93,1738509863272154624
94,1738509875026405376
95,1738509886060640768
96,1738509897103876352
97,1738509907172091136
98,1738509918902341376
99,1738509929966577408
100,1738509949706998528
101,1738509961764255744
102,1738509972828491776
103,1738509985218756096
104,1738509996264991744
105,1738510008685256704
106,1738510019746492672
107,1738510030429720576
108,1738510043194992896
109,1738510056263271680
110,1738510068995543296
111,1738510081052800512
112,1738510095126100736
113,1738510106526343936
114,1738510119906629376
115,1738510133649922560
116,1738510147408216064
117,1738510157470430720
118,1738510170205702400
119,1738510182586966528
120,1738510193654202624
121,1738510207037488128
122,1738510219409752064
123,1738510233147045120
124,1738510246212323840
125,1738510262295666944
126,1738510275384946176
127,1738510289782253312
128,1738510308202646272
129,1738510319569888768
130,1738510337000260608
131,1738510352747596544
132,1738510367147903744
133,1738510380567190016
134,1738510395993519104
135,1738510409730812160
136,1738510425151141120
137,1738510439581448960
138,1738510453294741504
139,1738510467380041984
140,1738510479803307008
141,1738510495889650176
142,1738510510622964480
143,1738510546809736448
144,1738510563214086400
145,1738510575955358208
146,1738510591369687040
147,1738510601791909376
148,1738510614188173824
149,1738510626929445632
150,1738510637321667328
151,1738510651727974656
152,1738510662807211008
153,1738510674213454336
154,1738510685256689920
155,1738510697343947776
156,1738510706413141248
157,1738510726849577216
158,1738510740262863360
159,1738510751303098880
160,1738510764719385088
161,1738510778459678208
162,1738510793537999872
163,1738510808316315136
164,1738510820382572544
165,1738510837146930176
166,1738510848520172800
167,1738510860922437376
168,1738510875325744640
169,1738510889408045056
170,1738510902503324416
171,1738510918265660672
172,1738510931678946816
173,1738510954452432640
174,1738510969536754432
175,1738510983232046592
176,1738510996621332224
177,1738511012359667968
178,1738511026114961408
179,1738511041553290752
180,1738511053940555008
181,1738511065661805056
182,1738511083755191040
183,1738511099526527488
184,1738511112597806336
185,1738511125360078592
186,1738511137771343360
187,1738511149843600896
188,1738511163259887104
189,1738511178353209088
190,1738511189411444992
